Date,Open,High,Low,Close,Volume,Adj Close,Future_categorical
20/6/2016,17736.8691,18011.0703,17356.3398,17400.75,611020000,17400.75,0
27/6/2016,17355.2109,18002.3809,17063.0801,17949.3691,572500000,17949.3691,1
4/7/2016,17904.4492,18166.7695,17713.4492,18146.7402,371680000,18146.7402,1
11/7/2016,18161.5293,18557.4297,18161.5293,18516.5508,462710000,18516.5508,1
18/7/2016,18521.5508,18622.0098,18469.6699,18570.8496,429120000,18570.8496,1
25/7/2016,18554.4902,18555.6895,18368.8203,18432.2402,470850000,18432.2402,0
1/8/2016,18434.5,18543.5293,18247.7891,18543.5293,408620000,18543.5293,1
8/8/2016,18541.8906,18638.3398,18468.7793,18576.4707,327730000,18576.4707,1
15/8/2016,18588.5898,18722.6094,18468.6797,18552.5703,364830000,18552.5703,0
22/8/2016,18535.8594,18631.5996,18335.3398,18395.4004,362920000,18395.4004,0
29/8/2016,18421.2891,18544.7598,18295.4805,18491.9609,380780000,18491.9609,1
5/9/2016,18493.4004,18551.5391,18085.4492,18085.4492,351010000,18085.4492,0
12/9/2016,18028.9492,18358.6895,17992.2109,18123.8008,687510000,18123.8008,1
19/9/2016,18154.8203,18449.8809,18093.0508,18261.4492,404830000,18261.4492,1
26/9/2016,18217.7598,18369.6191,18052.1602,18308.1504,508640000,18308.1504,1
3/10/2016,18279.5996,18319.7305,18116.2598,18240.4902,385760000,18240.4902,0
10/10/2016,18282.9492,18399.9609,17959.9492,18138.3809,403160000,18138.3809,0
17/10/2016,18135.8496,18252.1992,18049.7695,18145.7109,445240000,18145.7109,1
24/10/2016,18197.1406,18275.0391,18062.3008,18161.1895,449450000,18161.1895,1
31/10/2016,18176.5996,18193.6797,17883.5605,17888.2793,475590000,17888.2793,0
7/11/2016,17994.6406,18873.6602,17994.6406,18847.6602,618070000,18847.6602,1
14/11/2016,18876.7695,18934.0508,18806.0605,18867.9297,500050000,18867.9297,1
21/11/2016,18898.6797,19152.1406,18883.0996,19152.1406,289600000,19152.1406,1
28/11/2016,19122.1406,19225.2891,19062.2207,19170.4199,528260000,19170.4199,1
5/12/2016,19244.3496,19757.7402,19184.7402,19756.8496,1647000000,19756.8496,1
12/12/2016,19770.1992,19966.4297,19747.7402,19843.4102,2061330000,19843.4102,1
19/12/2016,19836.6602,19987.6309,19832.9492,19933.8105,1259580000,19933.8105,1
26/12/2016,19943.4609,19981.1094,19718.6699,19762.5996,790840000,19762.5996,0
2/1/2017,19872.8594,19999.6309,19775.9297,19963.8008,1166810000,19963.8008,1
9/1/2017,19931.4102,19973.4199,19770.4707,19885.7305,1492690000,19885.7305,0
16/1/2017,19848.8203,19882.9902,19677.9395,19827.25,1358670000,19827.25,0
23/1/2017,19794.7891,20125.5801,19732.3594,20093.7793,1773250000,20093.7793,1
30/1/2017,20028.6191,20081.4805,19784.7695,20071.4609,1809140000,20071.4609,0
6/2/2017,20025.6094,20298.2109,20002.8105,20269.3691,1479340000,20269.3691,1
13/2/2017,20338.5391,20639.8691,20322.9492,20624.0508,1750320000,20624.0508,1
